country,governorate,locationtypeend,demandtypeone,tacticprimary,violence,combined_sizes
Iraq,Baghdad,Government building,Labor,Occupation / sit-in,None,1678.8664992466097
Iraq,Baghdad,Government building,Labor,Occupation / sit-in,None,1678.8664992466097
Iraq,Erbil,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Infrastructure,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Company offices,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Basrah,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Baghdad,Cannot be determined,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Kirkuk,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,Wassit,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Main road,Social,Roadblock or blockade,None,1678.8664992466097
Iraq,Baghdad,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Labor,Occupation / sit-in,None,31.0
Iraq,Baghdad,Midan,Labor,Occupation / sit-in,None,301.0
Iraq,Wassit,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Government building,Labor,Demonstration / protest,None,15.0
Iraq,Wassit,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Main road,Politics (local),Demonstration / protest,Brawl or gang violence,1678.8664992466097
Iraq,Sulaymaniyah,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Hospital,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Factory or industrial site,Labor,Demonstration / protest,None,31.0
Iraq,Qadissiya,Hospital,Labor,Demonstration / protest,None,31.0
Iraq,Kerbala,Government building,Environmental,Mass attack or mob,Riot,1678.8664992466097
Iraq,Basrah,Infrastructure,Social,Demonstration / protest,None,31.0
Iraq,Muthanna,Cannot be determined,Labor,Demonstration / protest,None,301.0
Iraq,Basrah,Government building,Labor,Demonstration / protest,None,31.0
Iraq,ThiQar,Midan,Environmental,Demonstration / protest,None,31.0
Iraq,Basrah,Cannot be determined,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Main road,Labor,Demonstration / protest,None,5.0
Iraq,Basrah,Government building,Labor,Demonstration / protest,None,301.0
Iraq,Basrah,Factory or industrial site,Labor,Demonstration / protest,None,5.0
Iraq,Baghdad,Government building,Social,March,None,301.0
Iraq,Qadissiya,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Muthanna,Government building,Labor,Demonstration / protest,None,5.0
Iraq,Muthanna,Cannot be determined,Social,Demonstration / protest,None,31.0
Iraq,Basrah,Cannot be determined,Human rights / civic freedoms,March,None,5.0
Iraq,Qadissiya,Government building,Labor,Demonstration / protest,None,31.0
Iraq,SalahalDin,Cannot be determined,Religious,Demonstration / protest,None,3001.0
Iraq,Baghdad,Midan,Human rights / civic freedoms,Demonstration / protest,None,301.0
Iraq,Najaf,Midan,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,Kerbala,Midan,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Human rights / civic freedoms,March,None,31.0
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Ninewa,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Brawl or gang violence,3001.0
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Government building,Politics (national),Demonstration / protest,Riot,1000.0
Iraq,Basrah,Government building,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Wassit,Government building,Politics (national),Demonstration / protest,None,31.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,31.0
Iraq,Diyala,Government building,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Kerbala,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Government building,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Government building,Corruption,Demonstration / protest,Riot,31.0
Iraq,Kirkuk,Midan,Corruption,Demonstration / protest,None,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Brawl or gang violence,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Basrah,Main road,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Qadissiya,Government building,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Najaf,Government building,Politics (national),Demonstration / protest,Brawl or gang violence,31.0
Iraq,ThiQar,Government building,Social,Demonstration / protest,Riot,1678.8664992466097
Iraq,Muthanna,Government building,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Government building,Social,Demonstration / protest,Riot,3001.0
Iraq,Najaf,Party building,Politics (national),Demonstration / protest,Brawl or gang violence,31.0
Iraq,Kerbala,Government building,Human rights / civic freedoms,Demonstration / protest,None,301.0
Iraq,Baghdad,Cannot be determined,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,Riot,31.0
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Baghdad,Cannot be determined,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),Demonstration / protest,Brawl or gang violence,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Brawl or gang violence,301.0
Iraq,Baghdad,Main road,Politics (national),Roadblock or blockade,Riot,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),March,None,1678.8664992466097
Iraq,Wassit,Midan,Politics (national),Demonstration / protest,Riot,31.0
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,Brawl or gang violence,3001.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,Brawl or gang violence,31.0
Iraq,ThiQar,Government building,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Najaf,Police station,Politics (national),Demonstration / protest,Brawl or gang violence,1678.8664992466097
Iraq,Missan,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Labor,Demonstration / protest,Brawl or gang violence,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Brawl or gang violence,301.0
Iraq,Babylon,Government building,Politics (national),Demonstration / protest,None,31.0
Iraq,Wassit,Midan,Politics (national),Demonstration / protest,Riot,31.0
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Government building,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),Demonstration / protest,None,31.0
