startdate,governorate,district,gpslatend,gpslongend,locationtypeend,sizeexact,sizeestimate,demandtypeone,demandtypetwo,orgtypefirst,tacticprimary,tacticsecondary,violence,propertydamage,repression,teargas,rubberbullets,liveammo,sticks,surround,dogs,cleararea,policerepress,milrepress,beltegeyyarepress,militiarepress,partyrepress,employerrepress,otherrepress,killed,injured,arrested,country,target,MBproperty,residentsrepress,MBrepress
2019-06-24,Baghdad,,33.34044,44.433313,Government building,,-99.0,Labor,Unemployment,,Occupation / sit-in,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-08-19,Baghdad,,33.31167,44.391305,Government building,,-99.0,Labor,Unemployment,,Occupation / sit-in,,None,None,Physical harassment,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-02,Erbil,,36.193625,43.995335,Government building,,-99.0,Labor,Contracts,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-02,Basrah,,30.553304,47.668227,Infrastructure,,-99.0,Labor,Job security / promotions,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-02,Missan,,31.820092,47.16264,Company offices,,-99.0,Labor,Other,,Demonstration / protest,,None,None,Arrests / detentions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,6.0,Iraq,,,,
2019-09-02,ThiQar,,31.052644,46.239023,Government building,,31.0,Labor,Unemployment,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-04,Basrah,,30.511203,47.830097,Government building,,31.0,Labor,Unemployment,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-06,Baghdad,Mada'in,,,Cannot be determined,,-99.0,Social,Infrastructure,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-11,Babylon,Al-Mahawil,,,Cannot be determined,,-99.0,Social,Infrastructure,,Demonstration / protest,,None,None,Arrests / detentions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,0.0,41.0,Iraq,,,,
2019-09-12,Kirkuk,Kirkuk,,,Cannot be determined,,31.0,Human rights / civic freedoms,Arrests / detention / kidnapping,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-12,Wassit,,32.503902,45.824279,Government building,,-99.0,Labor,Contracts,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-12,Babylon,,32.399111,44.669595,Main road,,-99.0,Social,Infrastructure,,Roadblock or blockade,,None,None,Arrests / detentions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,0.0,50.0,Iraq,,,,
2019-09-12,Baghdad,,33.317635,33.317635,Government building,,31.0,Labor,Unemployment,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-13,Baghdad,,33.326872,44.408266,Midan,,31.0,Labor,Contracts,Union / syndicate / workers federation,Occupation / sit-in,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-13,Baghdad,,33.328414,44.407772,Midan,,301.0,Labor,Hiring,Union / syndicate / workers federation,Occupation / sit-in,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-14,Wassit,,32.50367,45.824568,Government building,,-99.0,Labor,Contracts,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-14,Basrah,,30.54958,47.797916,Government building,15.0,,Labor,Unemployment,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-15,Wassit,,32.503661,45.824198,Government building,,-99.0,Labor,Contracts,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-15,Qadissiya,Hamza,,,Main road,,-99.0,Politics (local),Local opposition,,Demonstration / protest,Roadblock or blockade,Brawl or gang violence,Mob action but no property damage,Injuries inflicted,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,10.0,0.0,Iraq,,,,
2019-09-15,Sulaymaniyah,Sulaymaniya,,,Government building,,-99.0,Labor,Unemployment,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
