recordnumber,coderinitials,datecoded,narrative,nameofevent,startdate,endate,ongoing,governorate,district,location,gpslatend,gpslongend,locationtypeend,gpslatstart,gpslongstart,locationtypestart,sizeexact,sizeestimate,sizetext,endsize,demandtypeone,demandtypetwo,demandother,govresign,antiUS,antiIran,antiSoleimani,proUS,proIran,proSoleimani,slogans,organizer,orgtypefirst,orgtypesecond,youth/students,laborers/workers,unions/syndicates,peasants/farmers,party members,activists/movts,gov workers,business,residents,islamists,kurds,christians,tribes,soldiers,police,NGOs/CSOs,womensgroups,refugees,participantother,sector,industryfirst,industrysecond,tacticprimary,tacticsecondary,campaign,violence,propertydamage,repression,teargas,rubberbullets,shootinginair,liveammo,sticks,surround,dogs,cleararea,policerepress,milrepress,beltegeyyarepress,militiarepress,partyrepress,employerrepress,ISISrepress,otherrepress,killed,injured,arrested,response,responsetext,sourcename1,articletitle1,articledate1,pagenum1,URL1,DB1,sourcename2,articletitle2,articledate2,pagenum2,URL2,DB2,sourcename3,articletitle3,articledate3,pagenum3,URL3,DB3,counts
201909011,ND,2020-01-31,اعتصام خريجي هندسة النفط امام وزارة النفط في بغداد مطالبين بتقليص العمالة الاجنبية الى 20٪ وتوفير فرص عمل لهم,,2019-06-24,2019-09-24,1,Baghdad,,وزارة النفط,33.34044,44.433313,Government building,,,,,-99,,,Labor,Unemployment,Reducing the proportion of foreign workers,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Occupation / sit-in,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negotiations ongoing,المسؤولين وعدوا بتحقيق المطالبن حال إقرار موازنة عام 2020,T-SH,خريجو الطب البيطري والادارة والاقتصاد وهندسة النفط يواصلون الاعتصام مطالبين بفرص العمل,2019-09-24,2,https://tareeqashaab.com/images/TariqPDF/2019/9/24.pdf,https://www.dropbox.com/s/4paxbi8foi67ley/20193011.1.pdf?dl=0,,,,,,,,,,,,,1
201909010,ND,2020-01-31,يواصل خريجو كلية الإدارة والاقتصاد اعتصامهم ، للمطالبة بتوفير فرص عمل وإقالة نقيب المحاسبين الذي رفض الاستماع لهم وعمل على إرسال قوة امنية لاعتقالهم.,,2019-08-19,2019-09-25,1,Baghdad,,مكتب رئيس الوزراء ,33.31167,44.391305,Government building,,,,,-99,,,Labor,Unemployment,Opposing union,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Occupation / sit-in,,,None,None,Physical harassment,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,T-SH,خريجو الطب البيطري والادارة والاقتصاد وهندسة النفط يواصلون الاعتصام مطالبين بفرص العمل,2019-09-24,2,https://tareeqashaab.com/images/TariqPDF/2019/9/24.pdf,https://www.dropbox.com/s/iifcvc1ghk7ezj6/20193010.1.pdf?dl=0,T-SH,رئيس الوزراء يلتقي حملة الشهادات العليا: نعدكم بتلبية مطالبكم,2019-09-29,1,https://tareeqashaab.com/images/TariqPDF/2019/9/29.pdf,https://www.dropbox.com/s/rwmwr5i0r9ixun1/20193010.2.pdf?dl=0,ACLED,"using water cannons and batons, security forces dispersed a protest by university graduates in front of the PM's office in al-Allawi (Karkh) area in Baghdad, who were demanding jobs.",2019-09-25,0,,,1
201909020,ND,2020-05-11,تظاهر المعلمون بعقود مؤقتة أمام مبنى مجلس الوزراء في مدينة أربيل مطالبين بالعقود الدائمة التي وعدوا بها عندما بدأوا العمل مع الوزارة خلال الأزمة المالية.,,2019-09-02,,0,Erbil,,مجلس الوزراء,36.193625,43.995335,Government building,,,,,-99,,,Labor,Contracts,,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Public,Education,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,"teachers on temporary contracts protested in front of the Council of Ministers building in Erbil city, demanding the permanent contracts they had been promised when they began working for the ministry during the financial crisis",2019-09-02,0,,,,,,,,,,,,,,,1
201909017,ND,2020-05-11,احتجاج لعدد من موظفي مطار البصرة داخل مبنى المطار مطالبين الحكومة بتوفير الإقامة والمزايا السنوية لهم ، بما في ذلك تذاكر السفر المجانية.,,2019-09-02,,0,Basrah,,مطار البصرة,30.553304,47.668227,Infrastructure,,,,,-99,,,Labor,Job security / promotions,residential spaces,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Public,"Transportation (taxi drivers, pilots)",,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,"a number of Basrah Airport employees protested inside the airport building demanding that the government provide them residence and annual benefits, including free travel tickets. ",2019-09-02,0,,,,,,,,,,,,,,,1
201909019,ND,2020-05-11,اعتقلت قوات الأمن 6 مهندسين محتجين من مظاهرة نظمت أمام شركة نفط ميسان في حقل نفط بازركان.,,2019-09-02,,0,Missan,,شركة نفط ميسان,31.820092,47.16264,Company offices,,,,,-99,,,Labor,Other,,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Public,Oil extraction,,Demonstration / protest,,,None,None,Arrests / detentions,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,Authorities not responding or ignoring,,ACLED,security forces arrested 6 protesting engineers from a protest organized in front of the Missan oil company at the Bazrakan oilfield. ,2019-09-02,0,,,,,,,,,,,,,,,1
201909018,ND,2020-05-11,تظاهر عشرات الخريجين من محافظة ذي قار أمام مبنى الحكومة المحلية مطالبين بإطلاق الدرجات الوظيفية.,,2019-09-02,,0,ThiQar,,مجلس المحافظة ,31.052644,46.239023,Government building,,,,,31,عشرات ,,Labor,Unemployment,,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,dozens of graduates from Thi-Qar province (coded at provincial capital) protested in front of the local government building demanding the launch of job grades,2019-09-02,0,,,,,,,,,,,,,,,1
201909021,ND,2020-05-11,عشرات الأشخاص الذين شاركوا في الدورات التدريبية التي قدمها مكتب التوظيف ، والذين يبحثون عن وظائف احتجوا أمام مبنى الحكومة المحلية في حي المعقل بمدينة البصرة ، مطالبين بتوفير وظائف لهم.,,2019-09-04,,0,Basrah,,مجلس المحافظة ,30.511203,47.830097,Government building,,,,,31,عشرات ,,Labor,Unemployment,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,"dozens of people who participated in the training courses provided by the employment office, who are looking for jobs protested in front of the local government building in al Maqal neighborhood in Basra city, demanding that they are provided jobs.",2019-09-04,0,,,,,,,,,,,,,,,1
201909022,ND,2020-05-11,تظاهر أهالي نهروان مطالبين بخدمات أفضل وحملوا الدولة مسؤولية الإهمال الحالي في البلدة.,,2019-09-06,,0,Baghdad,Mada'in,نهروان,,,Cannot be determined,,,,,-99,,,Social,Infrastructure,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,residents of Nahrawan protested demanding better services and holding all the state responsible for the current state of negligence in the town,2019-09-06,0,,,,,,,,,,,,,,,1
201909001,ND,2020-01-30,تظاهرة في ناحية المدحتية في بابل للمطالبة بالخدمات الاساسية ، والقوات الامنية تعتقل 41 من المتظاهرين .,,2019-09-11,,0,Babylon,Al-Mahawil,ناحية المدحتية,,,Cannot be determined,,,,,-99,,,Social,Infrastructure,,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,Arrests / detentions,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,41,Authorities not responding or ignoring,,T-SH,متظاهرو المدحتية ضحية لتعسف محافظ بابل ,2019-09-15,1,https://tareeqashaab.com/images/TariqPDF/2019/9/15.pdf,https://www.dropbox.com/s/mwu4iqlwohzw26g/20193001.1.pdf?dl=0,,,,,,,,,,,,,1
201909023,ND,2020-05-11,طالبت عشرات عائلات السجناء والمفقودين ، الذين يعتقد أنهم كانوا محتجزين في السجون الكردية في الفترة من 2003-2017 ، بإطلاق سراح أطفالهم أو محاكمتهم,,2019-09-12,,0,Kirkuk,Kirkuk,كركوك,,,Cannot be determined,,,,,31,عشرات ,,Human rights / civic freedoms,Arrests / detention / kidnapping,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,"dozens of families of prisoners and missing persons, believed to be held in Kurdish prisons in the period from 2003-2017 demanded that their children be released or tried",2019-09-12,0,,,,,,,,,,,,,,,1
