 ,Section 1: Basic Information,,,,,,,,,Section 2: Location,,,,,,,,,Section 3: Size,,,,Section 4: Demands,,,,,Section 5: Organizers and Participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section 6: Tactics,,,,,Section 7: Repression & Concessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recordnumber,coderinitials,datecoded,narrative,nameofevent,startdate,endate,,ongoing,timeofprotest,governorate,district,location,gpslatend,gpslongend,locationtypeend,gpslatstart,gpslongstart,locationtypestart,sizeexact,sizeestimate,sizetext,endsize,demandtypeone,demandtypetwo,demandother,modified_demands,slogans,organizer,orgtypefirst,orgtypesecond,Future Movement,Federation of Popular Leagues and Committes,Islamic Charitable Projects (Al Ahbash),Arab Liberation Party,Akkar Popular Assembly,Union of Muslim Ulama,Ahmad Al Assir,Islamic Group,Islamic Labour Front,Islamic Unification Movement,Sunni Other,Hezbollah,Amal,Shia Other,Progressive Socialist Movement,Lebanese Democratic Party,Lebanese Unification Movement,Druze Other,Free Patriotic Movement,Phalanges (Kata'eb),Lebanese Forces,Al Marada,National Liberal Party,Qornet Shehwan Gathering,Christian Other,Democratic Renewal Party Tajaddod,National Block,Arab Democratic Party,Alawite Youth Movement,Tashnag (Armenian),Henchag (Armenian),Ramgavar (Armenian),Kurdish Parties,Communist Party,Communist Action  Organization,Democratic Left,Socialist Forum,Lebanese Democratic Youth Union,Leftist Other,People's Movement,Ba'ath Party,Syrian Social Nationalist Party,Al Murabitoun,Popular Nasserite Organization,Workers' League,Palestinian Factions,Sabaa Party,Beirut Madinati,You_Stink,Badna Nhasseb,activists,labourers/workers,General Confederation of Lebanese Workers,Union Coordination Movement,Unions,Peasants/ Farmers,NGO/CSOs,Youth/Students,LGBT/Q+,Womens Groups,Residents,Refugees,Tenants,Landlords,participantother,sector,industryfirst,industrysecond,tacticprimary,tacticsecondary,campaign,violence,propertydamage,repression,teargas,rubberbullets,liveammo,sticks,surround,dogs,cleararea,policerepress,milrepress,militiarepress,partyrepress,militia or party,employerrepress,eventcancelled,cancelreason,otherrepress,killed,injured,arrested,articledate1,sourcename1,articletitle1,pagenum1,URL1,DB1,sourcename2,articletitle2,articledate2,pagenum2,URL2,DB2,sourcename3,articletitle3,articledate3,pagenum3,URL3,DB3
20191592,DFY,2020-11-08,A 24 hour sit in in front of BDL Hamra,Thawra,2019-11-26,2019-11-26,0,0,0,Beirut,Beirut,BDL - Hamra,33.89573872,35.48896097,Bank/Central Bank,,,,,31,Dozens,,Economic/Financial,Against Central Bank,,non-political,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,Occupation / sit-in,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-11-26,NNA,بدء اعتصام أمام مصرف لبنان يستمر 24 ساعة,,http://nna-leb.gov.lb/ar/show-news/448842/24,,The Daily Star,Day 41: Protesters at Central Bank for 24 hours,2019-11-26,,http://www.dailystar.com.lb/News/Lebanon-News/2019/Nov-26/496278-protests-slow-on-41st-day-of-uprising-following-night-of-tension.ashx,,,,,,,
20200162,DFY,2021-09-09,A student march is organized against Hassan Diab and the technocrat government in Abi Samra,Thawra,2020-01-13,2020-01-13,0,0,0,North,Tripoli,Abi Samra - Tripoli,34.42597265,35.84236914,Main road,,,,,-99,Unspecified,,Thawra 2019,Fall of the regime,,Fall of goverment/regime,,Student protestors,Student group,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-01-13,NNA,تجمع أمام أوجيرو في طرابلس ومسيرة طالبية في أبي سمراء,,http://nna-leb.gov.lb/ar/show-news/456221/,,,,,,,,,,,,,
20191864,DFY,2020-12-25,Aabra detainees requesting general amnesty ,Al Asir detainees,2019-12-06,2019-12-06,0,0,0,South,Sidon,Maksar Al Abed roundabout,33.56648117,35.40598439,Midan/Square,,,,,3,Few (pic),,Human rights / civic freedoms,Prison conditions / sentencing,Aabra case,non-political,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Families of Aabra Detainees,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-12-06,NNA,وقفة لاهالي موقوفي عبرا للمطالبة بالعفو العام,,http://nna-leb.gov.lb/ar/show-news/450492/,,,,,,,,,,,,,
20200903,DFY,2021-12-26,Aabra families of detainees perform a sit-in at Eliya Square asking for general amnesty including their detainees,Thawra,2020-03-27,2020-03-27,0,0,0,South,Sidon,Eliya square,33.56213934,35.37964806,Midan/Square,,,,,-99,Unspecified,,Human rights / civic freedoms,Prison conditions / sentencing,asking for general amnesty law,non-political,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,Occupation / sit-in,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-03-27,NNA,اعتصام لاهالي محكومي عبرا ومسيرة الى ساحة ايليا في صيدا,,https://www.nna-leb.gov.lb/es/pictures/93122/nna-leb.gov.lb,,,,,,,,,,,,,
20200891,DFY,2021-12-21,Aabra families of detainees perform a sit-in at the Municipality of Sidon,Thawra,2020-03-20,2020-03-20,0,0,0,South,Sidon,Municipality of Sidon,33.56431736,35.37529557,Government building,,,,,-99,Unspecified,,Human rights / civic freedoms,Prison conditions / sentencing,Asking for the Amnesty law,non-political,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,Occupation / sit-in,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-03-20,NNA,مسيرة واعتصام لاهالي موقوفي أحداث عبرا للمطالبة باقرار العفو العام,,http://nna-leb.gov.lb/ar/show-news/469029/,,,,,,,,,,,,,
20192133,DFY,2020-12-27,Abi Samra residents march to Al Nour square to Al Nour square,Thawra,2019-12-18,2019-12-18,0,0,0,North,Tripoli,Al Nour square,34.43460453,35.83614387,Midan/Square,,,,,-99,Unspecified,,Thawra 2019,New government formation,toadd: Formation of new technocrat government,politics (other),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,March,,,None,None,Army present at event,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,2019-12-18,NNA,مسيرة لاهالي منطقة ابي سمراء انضمت الى المعتصمين في ساحة النور,,الوكالة الوطنية للإعلام - مسيرة لاهالي منطقة ابي سمراء انضمت الى المعتصمين في ساحة النور (nna-leb.gov.lb),,,,,,,,,,,,,
20200298,DFY,2021-09-29,Activists and Lawyers protested in front of the Justice Palace Beirut,Thawra,2020-01-16,2020-01-16,0,0,0,Beirut,Beirut,Justice Palace Beirut,33.87712081,35.51892385,Court,,,,,-99,Unspecified,,Human rights / civic freedoms,Release of detainees,toadd: Release of detainees,non-political,,Hirak al Madani and Lawyers,Revolution committee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lawyers,Private,Lawyers,,Occupation / sit-in,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-01-16,NNA,متظاهرو الحراك فضوا اعتصامهم امام قصر العدل بيروت,,http://nna-leb.gov.lb/ar/show-news/456986/,,,,,,,,,,,,,
20191731,DFY,2020-12-22,Activists from Akkar and Minyeh protest in front of Ouyoun al Samak spring,Thawra,2019-12-02,2019-12-02,0,0,0,North,Miniyeh-Danniyeh,Ouyoun al Samak Spring,34.44210488,36.0367073,Other,,,,,3,Few (pic),,Environmental,Garbage,,non-political,,Al Minyeh Manna Mazbaleh - Tajamou Akkar Al Watani,CSOs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-12-02,NNA,اشطون من عكار والمنية اعتصموا عند شلال عيون السمك ووزارة البيئة تحركت دعما لمطلبهم,,http://nna-leb.gov.lb/ar/show-news/449710/,,,,,,,,,,,,,
20200739,DFY,2021-12-21,Activists in Souq al Khan hold a talk with Halima Kaakour about the revolution,Thawra,2020-03-01,2020-03-01,0,0,0,Nabatieh,Hasbaya,Souq al Khan - Hasbaya,33.38091933,35.64524183,Midan/Square,,,,,3,Few (picture),,Thawra 2019,Elections,Thawra sustainability,politics (other),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,Occupation / sit-in,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-03-01,NNA,حوار مع الناشطة حليمة قعقور في حاصبيا,,http://nna-leb.gov.lb/ar/show-news/464892/,,,,,,,,,,,,,
