recordnumber,nameofevent,startdate,endate,governorate,district,disengcampas,location,gpslat,gpslong,locationtype,tahrir,ittihadeyya,parliament,rabaa,minofdef,sizeexact,sizeestimate,sizecategory,demandtypeone,demandtypetwo,demandother,target,antiMB,antiMorsi,antiSCAF,Morsifall,milintervene,organizer,orgtype,orgMB,orgNSF,orgTamarod,youth/students,laborers/workers,peasants/farmers,party members,activists/movts,gov workers,business,residents,ultras,salafis,copts,MB,soldiers,police,feloul,secularopp,participantother,tacticprimary,tacticsecondary,campaign,Tamarodcampaign,violence,propertydamage,MBproperty,repression,repressiontype,policerepress,milrepress,beltegeyyarepress,residentsrepress,partyrepress,employerrepress,MBrepress,otherrepress,killed,injured,arrested
201201004,,12/31/2011,,Alexandria,,Muntazah,كنيسة القديسين,31.263166,29.992108,Church,0,0,0,0,0,,31,10-99 participants,Politics (national),Government opposition,,The military,1,0,1,0,0,,,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,Demonstration / protest,Mass attack or mob,,0.0,Riot,None,0,Security forces or other repressive groups present at event,,1,1,0,0,0,0,0,0,0,0,0
201201003,,12/31/2011,1/1/2012,Cairo,,Qasr Al-Nile,"ميدان التحرير , من دار القضاء العالى  , من قصر الدوبارة",30.045024,31.235532,Midan,1,0,0,0,0,,3301,"1,000-4,999 participants",Politics (national),Government opposition,,The military,0,0,1,0,0,,,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,"حركة ٦ إبريل، جبهة أحمد ماهر , الاشتراكيون الثوريون، والجمعية الوطنية للتغيير، وشباب من أجل العدالة والحرية، وحركة مينا دانيال، ائتلاف شباب الثورة، وحملة «عسكر كاذبون».",Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201012,,12/31/2011,1/22/2012,Cairo,,Qasr Al-Nile,دار القضاء العالى,30.052627,31.240259,Government building,0,0,0,0,0,50.0,,10-99 participants,Human rights / civic freedoms,Prison conditions / sentencing,,Courts/judiciary,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,القضاة,Occupation / sit-in,Hunger strike,,0.0,None,None,0,Deaths inflicted,Rudimentary crowd control,0,0,0,0,0,0,0,1,1,0,0
201201002,,1/1/2012,,Cairo,,Al Azbakiyya,محطة قطار رمسيس,30.062994,31.246995,Infrastructure,0,0,0,0,0,,31,10-99 participants,Labor,Working conditions,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Roadblock or blockade,Strike,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201009,,1/1/2012,,RedSea,,Hurghada 1,مطار الغردقة,27.179844,33.809037,Infrastructure,0,0,0,0,0,,-99,Size category cannot be determined,Labor,Wages,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Strike,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201001,,1/1/2012,,Cairo,,Madinat Nasr-2,وزارة المالية,30.060089,31.301754,Government building,0,0,0,0,0,,31,10-99 participants,Labor,Rights of businessmen,,Ministry or government agency,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,Security forces or other repressive groups present at event,,1,0,0,0,0,0,0,0,0,0,0
201201005,,1/1/2012,,Cairo,,Madinat Nasr-2,المقر المؤقت للحكومة بالهيئة العامة للاستثمار,30.071665,31.296487,Government building,0,0,0,0,0,,301,100-999 participants,Labor,Wages,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,Security forces or other repressive groups present at event,,1,0,0,0,0,0,0,0,0,0,0
201201006,,1/1/2012,,Cairo,,Nuzha,مطار القاهرة الدولى,30.112763,31.398753,Infrastructure,0,0,0,0,0,500.0,,100-999 participants,Labor,Wages,,Private company / companies,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Strike,Occupation / sit-in,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201010,,1/1/2012,,Cairo,,Nuzha,مطار القاهرة,30.112816,31.399019,Infrastructure,0,0,0,0,0,,31,10-99 participants,Labor,Working conditions,,Private company / companies,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Occupation / sit-in,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201011,,1/1/2012,,Cairo,,Nuzha,مطار القاهرة,30.112382,31.394883,Infrastructure,0,0,0,0,0,,31,10-99 participants,Labor,Working conditions,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Occupation / sit-in,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201007,,1/1/2012,,Cairo,,Qasr Al-Nile,هيئة ميناء القاهرة,30.040644,31.235419,Government building,0,0,0,0,0,300.0,,100-999 participants,Labor,Wages,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201008,,1/1/2012,,SouthSinai,,Sharm el-Sheikh,مطار شرم الشيخ,27.978822,34.386009,Infrastructure,0,0,0,0,0,,-99,Size category cannot be determined,Labor,Wages,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Strike,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201013,,1/2/2012,,Asyut,,Al-Qusia,خطوط السكك الحديدية,27.388751,30.892086,Infrastructure,0,0,0,0,0,,301,100-999 participants,Social,Infrastructure,,Ministry or government agency,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Roadblock or blockade,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201015,,1/2/2012,,Gharbiyya,Kafr az-Zayyat,Kafr Al-Zayyat,مقر حزب العدل,,,Party building,0,0,0,0,0,,-99,Size category cannot be determined,Politics (national),Party opposition,,Political party or group,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mass attack or mob,,,0.0,Riot,Total property destruction,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201016,,1/2/2012,,Cairo,,New Cairo-2,مكتب النائب العام,30.050125,31.515792,Government building,0,0,0,0,0,200.0,,100-999 participants,Politics (national),Government opposition,,The military,0,0,1,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201078,,1/3/2012,1/10/2012,Fayyum,,Fayyum,الشركة المصرية لتجارة الأدوية بالفيوم,29.313184,30.833295,Company offices,0,0,0,0,0,,-99,Size category cannot be determined,Labor,Wages,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Strike,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201014,,1/3/2012,1/4/2012,Cairo,,New Cairo-2,أكاديمية الشرطة,30.038848,31.408601,Government building,0,0,0,0,0,,31,10-99 participants,Human rights / civic freedoms,Repression / police violence,The punishment of Mubarak,The police,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,أهالى الشهداء فى الإسكندرية,Demonstration / protest,,,0.0,Riot,None,0,Security forces or other repressive groups present at event,,1,0,0,0,0,0,0,1,0,0,0
201201017,,1/3/2012,,Cairo,,Qasr Al-Nile,دار القضاء العالى,30.052585,31.239968,Government building,0,0,0,0,0,,5,Less than 10,Human rights / civic freedoms,Arrests / detention,,Courts/judiciary,0,0,1,0,0,الجبهة الحرة للتغيير السلمى، وائتلاف شباب الثورة,Political movement,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201018,,1/4/2012,,Cairo,,Nuzha,وزارة الطيران المدنى,30.118973,31.389043,Government building,0,0,0,0,0,1000.0,,"1,000-4,999 participants",Labor,Wages,,Government employer,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
